facet;group;stack;DEGs
0;1 vs 0;up;43
0;2 vs 0;up;84
0;3 vs 0;up;7
0;2 vs 1;up;28
0;2 vs 3;up;56
0;1 vs 3;up;23
1;1 vs 0;up;43
1;2 vs 0;up;71
1;3 vs 0;up;10
1;2 vs 1;up;13
1;2 vs 3;up;45
1;1 vs 3;up;23
2;1 vs 0;up;37
2;2 vs 0;up;109
2;3 vs 0;up;10
2;2 vs 1;up;33
2;2 vs 3;up;72
2;1 vs 3;up;16
0;1 vs 0;down;4
0;2 vs 0;down;6
0;3 vs 0;down;3
0;2 vs 1;down;4
0;2 vs 3;down;5
0;1 vs 3;down;0
1;1 vs 0;down;10
1;2 vs 0;down;6
1;3 vs 0;down;0
1;2 vs 1;down;2
1;2 vs 3;down;5
1;1 vs 3;down;2
2;1 vs 0;down;12
2;2 vs 0;down;18
2;3 vs 0;down;0
2;2 vs 1;down;2
2;2 vs 3;down;18
2;1 vs 3;down;5
