Group;Stack;Proportion
Negative;NK cells;0.168677248677249
Negative;T cells;0.482328042328042
Negative;Monocytes;0.239047619047619
Negative;DC;0.00894179894179894
Negative;B cells;0.0944973544973545
Negative;Undefined;0.00650793650793651
HIV-1;NK cells;0.190931962371472
HIV-1;T cells;0.536644060380661
HIV-1;Monocytes;0.206683439072413
HIV-1;DC;0.00607088164515423
HIV-1;B cells;0.0546926274338219
HIV-1;Undefined;0.00497702909647779
HIV-2 vir;NK cells;0.176998538927155
HIV-2 vir;T cells;0.468221665623043
HIV-2 vir;Monocytes;0.245721143811313
HIV-2 vir;DC;0.00814026299311208
HIV-2 vir;B cells;0.0948653725735755
HIV-2 vir;Undefined;0.00605301607180129
HIV-2 avir;NK cells;0.167829143011625
HIV-2 avir;T cells;0.478021086780211
HIV-2 avir;Monocytes;0.240821843741552
HIV-2 avir;DC;0.00978642876453095
HIV-2 avir;B cells;0.0984590429845904
HIV-2 avir;Undefined;0.00508245471749121
